Report Written :   Thursday, July 12, 2018  22:31
Project Path   :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.prj
Design Path    :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.pcb
Design Title   :
Created        :   25.11.2015 10:02:45
Last Saved     :   12.07.2018 22:27:59
Editing Time   :   1897 min
Units          :   thou (precision 0)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Description"
"CN2","1","PHX_MCV1.5/ 2-G-3.5","","R200","Phoenix Contact","MCV 1,5/ 2-G-3,5 - 1843606","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 2, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"CN3","1","PHX_MCV1.5/ 2-G-3.5","","R200","Phoenix Contact","MCV 1,5/ 2-G-3,5 - 1843606","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 2, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"CN4","1","PHX_MCV1.5/ 2-G-3.5","","R200","Phoenix Contact","MCV 1,5/ 2-G-3,5 - 1843606","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 2, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"CN8","1","PHX_MCV1.5/ 2-G-3.5","","R200","Phoenix Contact","MCV 1,5/ 2-G-3,5 - 1843606","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 2, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"CN9","1","PHX_MCV1.5/ 2-G-3.5","","R200","Phoenix Contact","MCV 1,5/ 2-G-3,5 - 1843606","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 2, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"CN6","1","PHX_MCV1.5/ 3-G-3.5","","3R5mm","Phoenix Contacts","MCV 1,5/ 3-G-3,5 - 1843619","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 3, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"CN7","1","PHX_MCV1.5/ 3-G-3.5","","3R5mm","Phoenix Contacts","MCV 1,5/ 3-G-3,5 - 1843619","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 3, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"CN12","1","PHX_MCV1.5/ 5-G-3.5","","3R5mm","Phoenix Contacts","MCV 1,5/ 5-G-3,5 - 1843635","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 5, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"CN13","1","PHX_MCV1.5/ 5-G-3.5","","3R5mm","Phoenix Contacts","MCV 1,5/ 5-G-3,5 - 1843635","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 5, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"CN11","1","PHX_MCV1.5/ 5-G-3.5","","3R5mm","Phoenix Contacts","MCV 1,5/ 5-G-3,5 - 1843635","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 5, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
